team_name,sprint_id,sprint_name,sprint_start_date,sprint_end_date,sprint_sequence,sprint_length_weeks,quarter_label,quarter_start_date,quarter_end_date
Team Connexpoint,8739,CXP26Q1 - Sprint 1,2026-01-07T18:11:23.184Z,2026-01-21T18:11:08.000Z,1,2,2026-Q1,2026-01-01,2026-03-31
Team Connexpoint,8740,CXP26Q1 - Sprint 2,2026-01-22T18:03:05.378Z,2026-02-04T08:00:00.000Z,2,2,2026-Q1,2026-01-01,2026-03-31
Team Connexpoint,8741,CXP26Q1 - Sprint 3,2026-02-04T17:58:11.333Z,2026-02-18T08:00:00.000Z,3,2,2026-Q1,2026-01-01,2026-03-31
Team Connexpoint,8743,CXP26Q1 - Sprint 5,2026-03-05T13:20:51.323Z,2026-03-18T21:00:00.000Z,5,2,2026-Q1,2026-01-01,2026-03-31
Team Connexpoint,8744,CXP26Q1 - Sprint 6,2026-03-20T12:21:11.540Z,2026-04-01T08:00:00.000Z,6,2,2026-Q1,2026-01-01,2026-03-31
Team Connexpoint,9615,CXP26Q1 - Sprint 4,2026-02-18T18:02:02.526Z,2026-03-04T18:02:37.000Z,4,2,2026-Q1,2026-01-01,2026-03-31
Team Webstore,2606,WS26Q1S2 - Battlefield,2026-01-22T17:00:20.000Z,2026-02-05T17:00:00.000Z,2,2,2026-Q1,2026-01-01,2026-03-31
Team Webstore,5639,WS26Q1S1 - Ape Escape,2026-01-07T17:30:00.000Z,2026-01-21T17:30:00.000Z,1,2,2026-Q1,2026-01-01,2026-03-31
Team Webstore,5803,WS26Q1S4 - Duke Nukem,2026-02-18T17:01:17.720Z,2026-03-04T17:00:00.000Z,4,2,2026-Q1,2026-01-01,2026-03-31
Team Webstore,8243,WS26Q1S3 - Cyberpunk 2077,2026-02-04T17:03:51.991Z,2026-02-18T17:00:00.000Z,3,2,2026-Q1,2026-01-01,2026-03-31
Team Webstore,8942,WS26Q1S5 - Elden Ring,2026-03-04T17:30:05.655Z,2026-03-18T17:30:00.000Z,5,2,2026-Q1,2026-01-01,2026-03-31
Team Webstore,8943,WS26Q1S6 - Final Fantasy,2026-03-18T16:00:00.000Z,2026-04-01T16:00:00.000Z,6,2,2026-Q1,2026-01-01,2026-03-31
