team_name,sprint_id,sprint_name,quarter_label,cards_committed_at_start,cards_removed_after_start,cards_reestimated_after_start,cards_sent_backward_after_start,completed_cards,completed_points,committed_completed_points,average_wip_cards,average_throughput_cards_per_sprint,data_quality_note,last_refresh_utc
Team ASAP,10054,ASAP - 26Q1S6,2026-Q1,7,0,1,1,3,4,3,3.9153,3,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,9248,ASAP - 26Q1S1,2026-Q1,4,0,1,0,1,8,8,3.272,1,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,9281,ASAP - 26Q1S2,2026-Q1,10,0,0,2,4,22,22,3.7568,4,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,9549,ASAP - 26Q1S3,2026-Q1,9,0,3,1,8,29,27,4.2592,8,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,9748,ASAP - 26Q1S4,2026-Q1,9,0,1,0,7,23,18,3.7662,7,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,9915,ASAP - 26Q1S5,2026-Q1,8,0,2,2,4,16,11,3.5354,4,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,8739,CXP26Q1 - Sprint 1,2026-Q1,40,0,0,0,12,0,0,9.8612,12,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,8740,CXP26Q1 - Sprint 2,2026-Q1,39,0,0,5,16,0,0,10.2302,16,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,8741,CXP26Q1 - Sprint 3,2026-Q1,55,0,0,2,23,0,0,7.9534,23,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,8743,CXP26Q1 - Sprint 5,2026-Q1,71,0,0,1,37,0,0,11.0659,37,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,8744,CXP26Q1 - Sprint 6,2026-Q1,67,0,0,1,25,0,0,8.9402,25,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,9615,CXP26Q1 - Sprint 4,2026-Q1,77,0,0,3,23,0,0,14.9226,23,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,9043,VC 26Q1S1,2026-Q1,36,0,15,12,4,19,16,27.0521,4,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,9314,VC 26Q1S2,2026-Q1,35,6,13,5,6,28,26,35.2783,6,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,9417,VC 26Q1S3,2026-Q1,56,2,26,20,10,28,16,43.2906,10,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,9582,VC 26Q1S4,2026-Q1,68,0,16,8,2,4,3,27.7439,2,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,9682,VC 26Q1S5,2026-Q1,38,0,12,5,2,4,0,21.8392,2,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,9848,VC 26Q1S6,2026-Q1,18,0,7,2,2,10,5,20.1187,2,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,2606,WS26Q1S2 - Battlefield,2026-Q1,44,1,3,0,10,27,24,19.9152,10,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,5639,WS26Q1S1 - Ape Escape,2026-Q1,49,0,9,3,11,30,22,17.4286,11,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,5803,WS26Q1S4 - Duke Nukem,2026-Q1,37,1,2,1,1,5,5,12.6679,1,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,8243,WS26Q1S3 - Cyberpunk 2077,2026-Q1,47,0,4,2,11,42,42,12.8102,11,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,8942,WS26Q1S5 - Elden Ring,2026-Q1,38,0,2,2,1,8,8,20.7035,1,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,8943,WS26Q1S6 - Final Fantasy,2026-Q1,40,0,2,0,1,2,0,27.0781,1,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
